school,lat,lon
"University of Southern California, United States",34.02149582,-118.28678894
"Universidade de Brasília, Brazil",-15.84489822,-48.09970093
"Universiteit Maastricht, Netherlands",50.84651947,5.68656015
"Visvesvaraya National Institute of Technology, Nagpur, India",21.15261841,79.0881958
"Universidad Autónoma Metropolitana-Iztapalapa, Mexico",19.36218071,-99.07270813
"Fuzhou University, China",26.05846024,119.20365906
"Université d'Angers, France",47.47999954,-0.60139
"University of Oregon, United States",44.04432297,-123.07236481
"Suranaree University of Technology, Thailand",13.71413025,100.5364876
"Universidad de Santiago de Chile, Chile",-33.44933701,-70.68228149
"Université de Strasbourg, France",48.5802803,7.76444006
"Technische Universität Dresden, Germany",51.02806091,13.72667027
"Université Joseph Fourier Grenoble I, France",45.19166946,5.77297783
"University of Ljubljana, Slovenia",46.04917526,14.50419712
"St. Petersburg State Polytechnic University, Russia",61.66702652,99.09856415
"The Hong Kong Polytechnic University, HongKong",22.30500031,114.18000031
"Iowa State University, United States",42.01955795,-93.64385223
"Universität Bielefeld, Germany",52.03765869,8.49361134
"Nyenrode Business Universiteit, Netherlands",52.16321945,5.00897217
"Sabanci University, Turkey",40.89054871,29.37838554
"Université d'Orléans, France",47.8440094,1.92647171
"West University of Timisoara, Romania",45.75097656,21.2261982
"Indian Institute of Technology, Madras, India",13.07209206,80.20185852
"Washington State University, United States",46.73244476,-117.15100861
"Michigan State University, United States",42.7019043,-84.48150635
"Tufts University, United States",42.40488052,-71.11522675
"State University of New York at Stony Brook, United States",40.92568588,-73.14112854
"Paris Sciences et Lettres, France",48.85466766,2.33780599
"Centre national de la recherche scientifique, France",46.62480927,2.45837402
"Università degli Studi di Genova, Italy",44.41500092,8.92580032
"University of Jordan, Jordan",31.16670418,36.9416275
"Université Paul Sabatier - Toulouse III, France",43.56315613,1.46283925
"Rheinische Friedrich-Wilhelms-Universität Bonn, Germany",50.73370361,7.10256767
"Vasyl Karazin Kharkiv National University, Ukraine",49.98594666,36.2735405
"University of California, Santa Barbara, United States",34.42086792,-119.69834137
"Indian Institute of Technology, Roorkee, India",29.85297203,77.87545013
"Transilvania University of Brasov, Romania",45.64949036,25.60655022
"Johannes Gutenberg-Universität Mainz, Germany",49.99201202,8.23829174
"McMaster University, Canada",43.26299667,-79.91837311
"Ruhr-Universität Bochum, Germany",51.44473648,7.26183701
"Universität Stuttgart, Germany",48.74583435,9.10542107
"College of William and Mary, United States",37.27094269,-76.71639252
"Universität Trier, Germany",49.74645233,6.68651581
"Università di Torino, Italy",45.06937408,7.68892479
